Date Time, Speed, Direction, Direction, Gust, X, R 
2010-03-02 00:00,6.80,18.00,NNE,9.70,0,0
2010-03-02 00:06,4.90,18.00,NNE,9.10,0,0
2010-03-02 00:12,7.10,24.00,NNE,10.50,0,0
2010-03-02 00:18,7.05,23.67,NNE,10.52,0,0
2010-03-02 00:24,8.20,13.00,NNE,10.00,0,0
2010-03-02 00:30,6.10,19.00,NNE,8.10,0,0
2010-03-02 00:36,6.13,19.10,NNE,8.11,0,0
2010-03-02 00:42,8.30,18.00,NNE,12.10,0,0
2010-03-02 00:48,8.28,17.54,NNE,12.09,0,0
2010-03-02 00:54,5.90,25.00,NNE,8.60,0,0
2010-03-02 01:00,,,,,1,1
2010-03-02 01:06,6.10,21.00,NNE,11.10,0,0
2010-03-02 01:12,4.70,29.00,NNE,9.60,0,0
2010-03-02 01:18,4.70,35.00,NE,8.00,0,0
2010-03-02 01:24,5.50,22.00,NNE,9.20,0,0
2010-03-02 01:30,6.70,20.00,NNE,9.20,0,0
2010-03-02 01:36,6.20,10.00,N,9.40,0,0
2010-03-02 01:42,7.50,14.00,NNE,10.70,0,0
2010-03-02 01:48,7.10,17.00,NNE,11.10,0,0
2010-03-02 01:54,6.40,21.00,NNE,10.60,0,0
2010-03-02 02:00,4.20,10.00,N,8.10,0,0
2010-03-02 02:06,4.50,7.00,N,8.60,0,0
2010-03-02 02:12,5.20,7.00,N,7.70,0,0
2010-03-02 02:18,5.30,7.00,N,9.00,0,0
2010-03-02 02:24,5.30,15.00,NNE,7.80,0,0
2010-03-02 02:30,6.30,18.00,NNE,8.80,0,0
2010-03-02 02:36,5.70,19.00,NNE,7.70,0,0
2010-03-02 02:42,5.60,17.00,NNE,7.60,0,0
2010-03-02 02:48,5.65,17.33,NNE,7.64,0,0
2010-03-02 02:54,5.60,23.00,NNE,8.30,0,0
2010-03-02 03:00,5.62,23.25,NNE,8.27,0,0
2010-03-02 03:06,5.30,18.00,NNE,10.20,0,0
2010-03-02 03:12,7.10,17.00,NNE,8.90,0,0
2010-03-02 03:18,5.30,10.00,N,8.00,0,0
2010-03-02 03:24,5.30,10.12,N,7.96,0,0
2010-03-02 03:30,4.00,15.00,NNE,7.10,0,0
2010-03-02 03:36,4.50,24.00,NNE,6.80,0,0
2010-03-02 03:42,5.80,12.00,NNE,8.60,0,0
2010-03-02 03:48,5.90,22.00,NNE,8.30,0,0
2010-03-02 03:54,5.10,11.00,N,8.30,0,0
2010-03-02 04:00,5.90,12.00,NNE,8.60,0,0
2010-03-02 04:06,4.70,13.00,NNE,8.10,0,0
2010-03-02 04:12,5.60,11.00,N,9.70,0,0
2010-03-02 04:18,4.40,10.00,N,6.70,0,0
2010-03-02 04:24,5.70,16.00,NNE,9.00,0,0
2010-03-02 04:30,5.40,23.00,NNE,8.70,0,0
2010-03-02 04:36,5.20,14.00,NNE,8.40,0,0
2010-03-02 04:42,5.00,17.00,NNE,7.10,0,0
2010-03-02 04:48,5.40,11.00,N,7.40,0,0
2010-03-02 04:54,5.10,16.00,NNE,7.40,0,0
2010-03-02 05:00,3.30,19.00,NNE,6.80,0,0
2010-03-02 05:06,5.50,14.00,NNE,7.60,0,0
2010-03-02 05:12,4.50,10.00,N,7.60,0,0
2010-03-02 05:18,4.20,12.00,NNE,6.40,0,0
2010-03-02 05:24,4.20,17.00,NNE,5.70,0,0
2010-03-02 05:30,4.23,16.73,NNE,5.68,0,0
2010-03-02 05:36,4.30,6.00,N,5.90,0,0
2010-03-02 05:42,3.00,1.00,N,5.50,0,0
2010-03-02 05:48,3.80,17.00,NNE,6.40,0,0
2010-03-02 05:54,3.00,1.00,N,5.30,0,0
2010-03-02 06:00,3.20,7.00,N,4.60,0,0
2010-03-02 06:06,3.80,7.00,N,4.90,0,0
2010-03-02 06:12,2.80,6.00,N,5.40,0,0
2010-03-02 06:18,3.10,3.00,N,5.50,0,0
2010-03-02 06:24,2.50,3.00,N,4.80,0,0
2010-03-02 06:30,4.20,357.00,N,5.40,0,0
2010-03-02 06:36,3.20,359.00,N,5.20,0,0
2010-03-02 06:42,3.20,354.00,N,4.80,0,0
2010-03-02 06:48,3.18,354.11,N,4.81,0,0
2010-03-02 06:54,2.90,358.00,N,4.50,0,0
2010-03-02 07:00,3.70,351.00,N,4.60,0,0
2010-03-02 07:06,3.73,351.13,N,4.64,0,0
2010-03-02 07:12,3.50,355.00,N,5.10,0,0
2010-03-02 07:18,2.40,338.00,NNW,5.00,0,0
2010-03-02 07:24,2.60,332.00,NNW,3.90,0,0
2010-03-02 07:30,2.20,350.00,N,3.70,0,0
2010-03-02 07:36,2.80,339.00,NNW,4.00,0,0
2010-03-02 07:42,2.20,347.00,NNW,4.00,0,0
2010-03-02 07:48,2.30,354.00,N,4.40,0,0
2010-03-02 07:54,2.40,5.00,N,4.10,0,0
2010-03-02 08:00,3.90,357.00,N,5.00,0,0
2010-03-02 08:06,3.89,357.12,N,4.96,0,0
