Date Time, Speed, Direction, Direction, Gust, X, R 
2006-08-02 00:00,4.80,231.00,SW,7.20,0,0
2006-08-02 00:06,3.60,230.00,SW,4.20,0,0
2006-08-02 00:12,,,,,1,1
2006-08-02 00:18,3.80,232.00,SW,4.70,0,0
2006-08-02 00:24,3.70,233.00,SW,4.90,0,0
2006-08-02 00:30,3.80,233.00,SW,4.90,0,0
2006-08-02 00:36,,,,,1,1
2006-08-02 00:42,3.90,233.00,SW,5.30,0,0
2006-08-02 00:48,4.00,234.00,SW,5.80,0,0
2006-08-02 00:54,,,,,1,1
2006-08-02 01:00,4.10,234.00,SW,5.80,0,0
2006-08-02 01:06,4.80,241.00,WSW,5.40,0,0
2006-08-02 01:12,5.10,246.00,WSW,6.50,0,0
2006-08-02 01:18,5.30,248.00,WSW,6.50,0,0
2006-08-02 01:24,,,,,1,1
2006-08-02 01:30,5.10,248.00,WSW,6.50,0,0
2006-08-02 01:36,5.10,249.00,WSW,6.50,0,0
2006-08-02 01:42,5.10,249.00,WSW,6.50,0,0
2006-08-02 01:48,5.00,250.00,WSW,6.50,0,0
2006-08-02 01:54,4.90,250.00,WSW,6.50,0,0
2006-08-02 02:00,4.80,250.00,WSW,6.50,0,0
2006-08-02 02:06,4.10,254.00,WSW,4.60,0,0
2006-08-02 02:12,4.10,251.00,WSW,4.70,0,0
2006-08-02 02:18,4.20,250.00,WSW,5.00,0,0
2006-08-02 02:24,4.30,250.00,WSW,5.00,0,0
2006-08-02 02:30,4.30,250.00,WSW,5.00,0,0
2006-08-02 02:36,4.30,250.00,WSW,5.00,0,0
2006-08-02 02:42,4.30,250.00,WSW,5.00,0,0
2006-08-02 02:48,4.30,249.00,WSW,5.00,0,0
2006-08-02 02:54,4.30,249.00,WSW,5.00,0,0
2006-08-02 03:00,4.40,249.00,WSW,5.40,0,0
2006-08-02 03:06,4.80,250.00,WSW,5.60,0,0
2006-08-02 03:12,5.10,250.00,WSW,6.10,0,0
2006-08-02 03:18,5.10,248.00,WSW,6.10,0,0
2006-08-02 03:24,5.10,248.00,WSW,6.10,0,0
2006-08-02 03:30,5.20,247.00,WSW,6.10,0,0
2006-08-02 03:36,5.20,246.00,WSW,6.10,0,0
2006-08-02 03:42,5.20,246.00,WSW,6.10,0,0
2006-08-02 03:48,5.20,246.00,WSW,6.10,0,0
2006-08-02 03:54,5.20,246.00,WSW,6.10,0,0
2006-08-02 04:00,5.20,246.00,WSW,6.10,0,0
2006-08-02 04:06,5.50,252.00,WSW,6.00,0,0
2006-08-02 04:12,,,,,1,1
2006-08-02 04:18,5.50,252.00,WSW,6.10,0,0
2006-08-02 04:24,5.30,253.00,WSW,6.10,0,0
2006-08-02 04:30,5.20,254.00,WSW,6.10,0,0
2006-08-02 04:36,,,,,1,1
2006-08-02 04:42,5.20,255.00,WSW,6.10,0,0
2006-08-02 04:48,5.10,256.00,WSW,6.10,0,0
2006-08-02 04:54,,,,,1,1
2006-08-02 05:00,5.00,255.00,WSW,6.10,0,0
2006-08-02 05:06,4.50,248.00,WSW,4.90,0,0
2006-08-02 05:12,4.50,251.00,WSW,5.20,0,0
2006-08-02 05:18,4.40,253.00,WSW,5.20,0,0
2006-08-02 05:24,4.20,253.00,WSW,5.20,0,0
2006-08-02 05:30,4.30,253.00,WSW,5.20,0,0
2006-08-02 05:36,,,,,1,1
2006-08-02 05:42,4.30,253.00,WSW,5.20,0,0
2006-08-02 05:48,4.30,254.00,WSW,5.20,0,0
2006-08-02 05:54,,,,,1,1
2006-08-02 06:00,4.20,253.00,WSW,5.20,0,0
2006-08-02 06:06,3.90,251.00,WSW,4.30,0,0
2006-08-02 06:12,3.90,253.00,WSW,4.30,0,0
2006-08-02 06:18,3.80,256.00,WSW,4.30,0,0
2006-08-02 06:24,3.70,258.00,WSW,4.30,0,0
2006-08-02 06:30,3.70,260.00,W,4.30,0,0
2006-08-02 06:36,3.70,261.00,W,4.30,0,0
2006-08-02 06:42,3.70,261.00,W,4.30,0,0
2006-08-02 06:48,0.00,0.00,N,0.00,0,0
2006-08-02 06:54,,,,,1,1
2006-08-02 07:00,13.70,263.00,W,70.50,0,0
2006-08-02 07:06,3.20,263.00,W,3.60,0,0
2006-08-02 07:12,3.30,262.00,W,4.00,0,0
2006-08-02 07:18,3.40,262.00,W,4.20,0,0
2006-08-02 07:24,3.60,263.00,W,4.50,0,0
2006-08-02 07:30,3.70,263.00,W,4.70,0,0
2006-08-02 07:36,3.80,262.00,W,4.90,0,0
2006-08-02 07:42,,,,,1,1
2006-08-02 07:48,3.90,263.00,W,5.50,0,0
2006-08-02 07:54,4.10,263.00,W,5.80,0,0
2006-08-02 08:00,4.20,263.00,W,6.20,0,0
2006-08-02 08:06,5.30,264.00,W,6.20,0,0
2006-08-02 08:12,5.10,264.00,W,6.20,0,0
2006-08-02 08:18,5.10,265.00,W,6.20,0,0
2006-08-02 08:24,5.20,265.00,W,6.50,0,0
2006-08-02 08:30,5.30,265.00,W,6.70,0,0
2006-08-02 08:36,,,,,1,1
2006-08-02 08:42,5.20,265.00,W,6.70,0,0
2006-08-02 08:48,5.10,265.00,W,6.70,0,0
2006-08-02 08:54,,,,,1,1
2006-08-02 09:00,5.00,265.00,W,6.70,0,0
2006-08-02 09:06,5.00,263.00,W,5.70,0,0
2006-08-02 09:12,5.10,263.00,W,5.80,0,0
2006-08-02 09:18,5.10,262.00,W,6.20,0,0
2006-08-02 09:24,5.20,262.00,W,6.20,0,0
2006-08-02 09:30,5.20,262.00,W,6.40,0,0
2006-08-02 09:36,5.20,261.00,W,6.40,0,0
2006-08-02 09:42,5.20,261.00,W,6.40,0,0
2006-08-02 09:48,5.20,260.00,W,6.40,0,0
2006-08-02 09:54,5.10,260.00,W,6.40,0,0
2006-08-02 10:00,5.10,260.00,W,6.40,0,0
2006-08-02 10:06,4.50,263.00,W,5.10,0,0
2006-08-02 10:12,4.20,263.00,W,5.10,0,0
2006-08-02 10:18,4.10,262.00,W,5.10,0,0
2006-08-02 10:24,3.90,262.00,W,5.10,0,0
2006-08-02 10:30,3.70,261.00,W,5.10,0,0
2006-08-02 10:36,3.50,260.00,W,5.10,0,0
2006-08-02 10:42,3.40,259.00,W,5.10,0,0
2006-08-02 10:48,3.30,257.00,WSW,5.10,0,0
2006-08-02 10:54,3.20,256.00,WSW,5.10,0,0
2006-08-02 11:00,3.10,256.00,WSW,5.10,0,0
2006-08-02 11:06,1.50,240.00,WSW,1.80,0,0
2006-08-02 11:12,1.40,235.00,SW,1.80,0,0
2006-08-02 11:18,1.60,233.00,SW,2.50,0,0
2006-08-02 11:24,1.70,232.00,SW,2.80,0,0
2006-08-02 11:30,1.70,230.00,SW,2.80,0,0
2006-08-02 11:36,,,,,1,1
2006-08-02 11:42,1.70,225.00,SW,2.80,0,0
2006-08-02 11:48,1.60,225.00,SW,2.80,0,0
2006-08-02 11:54,1.70,224.00,SW,2.80,0,0
2006-08-02 12:00,1.80,224.00,SW,3.40,0,0
2006-08-02 12:06,3.40,227.00,SW,4.00,0,0
2006-08-02 12:12,3.50,228.00,SW,4.10,0,0
2006-08-02 12:18,3.50,229.00,SW,4.10,0,0
2006-08-02 12:24,3.40,230.00,SW,4.10,0,0
2006-08-02 12:30,3.30,230.00,SW,4.10,0,0
2006-08-02 12:36,3.30,232.00,SW,4.10,0,0
2006-08-02 12:42,3.40,235.00,SW,4.90,0,0
2006-08-02 12:48,3.50,238.00,WSW,5.00,0,0
2006-08-02 12:54,3.70,241.00,WSW,5.40,0,0
2006-08-02 13:00,3.80,242.00,WSW,5.60,0,0
2006-08-02 13:06,4.90,256.00,WSW,6.00,0,0
2006-08-02 13:12,5.00,257.00,WSW,6.20,0,0
2006-08-02 13:18,5.00,257.00,WSW,6.50,0,0
2006-08-02 13:24,5.00,257.00,WSW,6.50,0,0
2006-08-02 13:30,4.90,258.00,WSW,6.50,0,0
2006-08-02 13:36,4.90,258.00,WSW,6.70,0,0
2006-08-02 13:42,4.80,258.00,WSW,6.70,0,0
2006-08-02 13:48,4.80,258.00,WSW,6.70,0,0
2006-08-02 13:54,4.80,259.00,W,6.70,0,0
2006-08-02 14:00,4.80,259.00,W,6.70,0,0
2006-08-02 14:06,4.80,266.00,W,6.10,0,0
2006-08-02 14:12,4.70,265.00,W,6.10,0,0
2006-08-02 14:18,4.80,263.00,W,6.40,0,0
2006-08-02 14:24,5.10,262.00,W,7.30,0,0
2006-08-02 14:30,4.90,262.00,W,7.30,0,0
2006-08-02 14:36,,,,,1,1
2006-08-02 14:42,4.80,265.00,W,7.30,0,0
2006-08-02 14:48,,,,,1,1
2006-08-02 14:54,,,,,1,1
2006-08-02 15:00,4.70,268.00,W,7.30,0,0
2006-08-02 15:06,3.80,272.00,W,5.70,0,0
2006-08-02 15:12,,,,,1,1
2006-08-02 15:18,4.40,269.00,W,6.70,0,0
2006-08-02 15:24,4.40,270.00,W,6.70,0,0
2006-08-02 15:30,4.50,266.00,W,6.70,0,0
2006-08-02 15:36,4.50,265.00,W,6.70,0,0
2006-08-02 15:42,4.50,263.00,W,6.70,0,0
2006-08-02 15:48,4.40,262.00,W,6.70,0,0
2006-08-02 15:54,,,,,1,1
2006-08-02 16:00,4.20,261.00,W,6.70,0,0
2006-08-02 16:06,3.50,240.00,WSW,4.30,0,0
2006-08-02 16:12,3.60,246.00,WSW,4.80,0,0
2006-08-02 16:18,3.80,247.00,WSW,6.00,0,0
2006-08-02 16:24,4.20,250.00,WSW,6.60,0,0
2006-08-02 16:30,4.40,252.00,WSW,7.00,0,0
2006-08-02 16:36,4.50,252.00,WSW,7.00,0,0
2006-08-02 16:42,4.50,253.00,WSW,7.00,0,0
2006-08-02 16:48,4.50,252.00,WSW,7.00,0,0
2006-08-02 16:54,4.40,252.00,WSW,7.00,0,0
2006-08-02 17:00,4.50,253.00,WSW,7.40,0,0
2006-08-02 17:06,4.10,262.00,W,6.20,0,0
2006-08-02 17:12,4.50,262.00,W,6.60,0,0
2006-08-02 17:18,4.90,258.00,WSW,8.10,0,0
2006-08-02 17:24,4.50,260.00,W,8.10,0,0
2006-08-02 17:30,4.50,259.00,W,8.10,0,0
2006-08-02 17:36,,,,,1,1
2006-08-02 17:42,4.60,265.00,W,8.10,0,0
2006-08-02 17:48,4.60,265.00,W,8.10,0,0
2006-08-02 17:54,,,,,1,1
2006-08-02 18:00,4.90,266.00,W,8.70,0,0
2006-08-02 18:06,,,,,1,1
2006-08-02 18:12,5.60,276.00,W,8.10,0,0
2006-08-02 18:18,5.00,276.00,W,8.10,0,0
2006-08-02 18:24,5.40,270.00,W,8.90,0,0
2006-08-02 18:30,,,,,1,1
2006-08-02 18:36,,,,,1,1
2006-08-02 18:42,5.60,271.00,W,10.30,0,0
2006-08-02 18:48,5.70,269.00,W,10.30,0,0
2006-08-02 18:54,5.70,269.00,W,10.30,0,0
2006-08-02 19:00,5.90,269.00,W,10.30,0,0
2006-08-02 19:06,5.90,266.00,W,8.00,0,0
2006-08-02 19:12,5.50,265.00,W,8.00,0,0
2006-08-02 19:18,5.70,265.00,W,8.00,0,0
2006-08-02 19:24,5.60,266.00,W,8.00,0,0
2006-08-02 19:30,5.80,265.00,W,8.10,0,0
2006-08-02 19:36,5.70,265.00,W,8.10,0,0
2006-08-02 19:42,5.90,264.00,W,8.60,0,0
2006-08-02 19:48,5.80,264.00,W,8.60,0,0
2006-08-02 19:54,5.70,264.00,W,8.60,0,0
2006-08-02 20:00,5.80,264.00,W,8.60,0,0
2006-08-02 20:06,5.50,256.00,WSW,6.80,0,0
2006-08-02 20:12,5.90,256.00,WSW,7.40,0,0
2006-08-02 20:18,6.10,257.00,WSW,8.90,0,0
2006-08-02 20:24,6.00,258.00,WSW,8.90,0,0
2006-08-02 20:30,5.80,259.00,W,8.90,0,0
2006-08-02 20:36,,,,,1,1
2006-08-02 20:42,5.90,260.00,W,8.90,0,0
2006-08-02 20:48,5.70,261.00,W,8.90,0,0
2006-08-02 20:54,,,,,1,1
2006-08-02 21:00,5.50,258.00,WSW,8.90,0,0
2006-08-02 21:06,6.80,232.00,SW,7.80,0,0
2006-08-02 21:12,6.60,230.00,SW,7.80,0,0
2006-08-02 21:18,,,,,1,1
2006-08-02 21:24,6.20,231.00,SW,7.80,0,0
2006-08-02 21:30,6.20,231.00,SW,7.80,0,0
2006-08-02 21:36,6.30,230.00,SW,7.80,0,0
2006-08-02 21:42,6.30,230.00,SW,7.80,0,0
2006-08-02 21:48,6.20,230.00,SW,7.80,0,0
2006-08-02 21:54,6.20,231.00,SW,7.80,0,0
2006-08-02 22:00,6.10,231.00,SW,7.80,0,0
2006-08-02 22:06,6.40,243.00,WSW,7.80,0,0
2006-08-02 22:12,6.40,243.00,WSW,8.60,0,0
2006-08-02 22:18,6.10,244.00,WSW,8.60,0,0
2006-08-02 22:24,5.80,245.00,WSW,8.60,0,0
2006-08-02 22:30,5.60,245.00,WSW,8.60,0,0
2006-08-02 22:36,5.40,244.00,WSW,8.60,0,0
2006-08-02 22:42,5.20,242.00,WSW,8.60,0,0
2006-08-02 22:48,5.10,241.00,WSW,8.60,0,0
2006-08-02 22:54,5.00,242.00,WSW,8.60,0,0
2006-08-02 23:00,5.10,248.00,WSW,13.80,0,0
2006-08-02 23:06,10.60,322.00,NW,17.00,0,0
2006-08-02 23:12,9.50,320.00,NW,17.00,0,0
2006-08-02 23:18,9.90,321.00,NW,17.00,0,0
2006-08-02 23:24,9.40,320.00,NW,17.00,0,0
2006-08-02 23:30,8.70,321.00,NW,17.00,0,0
2006-08-02 23:36,,,,,1,1
2006-08-02 23:42,7.10,320.00,NW,17.00,0,0
2006-08-02 23:48,6.80,313.00,NW,17.00,0,0
2006-08-02 23:54,6.70,307.00,NW,17.00,0,0
2006-08-03 00:00,6.50,302.00,WNW,17.00,0,0
2006-08-03 00:06,4.10,225.00,SW,4.70,0,0
2006-08-03 00:12,3.70,223.00,SW,4.70,0,0
2006-08-03 00:18,3.50,219.00,SW,4.70,0,0
2006-08-03 00:24,3.40,218.00,SW,4.70,0,0
2006-08-03 00:30,3.40,218.00,SW,4.70,0,0
2006-08-03 00:36,3.30,218.00,SW,4.70,0,0
2006-08-03 00:42,3.20,218.00,SW,4.70,0,0
2006-08-03 00:48,3.10,216.00,SW,4.70,0,0
2006-08-03 00:54,3.00,216.00,SW,4.70,0,0
2006-08-03 01:00,2.90,216.00,SW,4.70,0,0
2006-08-03 01:06,2.30,228.00,SW,2.80,0,0
2006-08-03 01:12,2.40,227.00,SW,3.00,0,0
2006-08-03 01:18,,,,,1,1
2006-08-03 01:24,2.70,228.00,SW,3.60,0,0
2006-08-03 01:30,2.70,227.00,SW,3.60,0,0
2006-08-03 01:36,2.70,226.00,SW,3.60,0,0
2006-08-03 01:42,2.70,224.00,SW,3.60,0,0
