Date Time, Speed, Direction, Direction, Gust, X, R 
2007-12-02 00:00,5.20,4.73,N,7.26,0,0
2007-12-02 00:06,6.42,3.28,N,8.49,0,0
2007-12-02 00:12,6.02,357.30,N,7.88,0,0
2007-12-02 00:18,6.56,354.34,N,7.93,0,0
2007-12-02 00:24,6.09,351.26,N,7.67,0,0
2007-12-02 00:30,6.19,354.55,N,8.34,0,0
2007-12-02 00:36,6.01,2.51,N,8.58,0,0
2007-12-02 00:42,6.55,0.89,N,8.58,0,0
2007-12-02 00:48,6.63,354.93,N,8.85,0,0
2007-12-02 00:54,5.48,0.34,N,7.10,0,0
2007-12-02 01:00,5.16,8.17,N,8.06,0,0
2007-12-02 01:06,5.66,355.04,N,7.87,0,0
2007-12-02 01:12,5.88,4.48,N,8.83,0,0
2007-12-02 01:18,4.53,5.66,N,7.38,0,0
2007-12-02 01:24,5.90,11.00,N,9.60,0,0
2007-12-02 01:30,5.58,5.68,N,7.34,0,0
2007-12-02 01:36,6.16,0.81,N,9.59,0,0
2007-12-02 01:42,6.56,0.55,N,9.20,0,0
2007-12-02 01:48,7.31,359.99,N,10.07,0,0
2007-12-02 01:54,7.19,1.87,N,9.08,0,0
2007-12-02 02:00,4.71,7.83,N,8.41,0,0
2007-12-02 02:06,5.50,5.71,N,8.28,0,0
2007-12-02 02:12,5.38,358.73,N,7.39,0,0
2007-12-02 02:18,6.18,353.11,N,9.96,0,0
2007-12-02 02:24,5.87,359.07,N,8.73,0,0
2007-12-02 02:30,5.68,359.48,N,7.76,0,0
2007-12-02 02:36,5.90,9.23,N,7.82,0,0
2007-12-02 02:42,6.36,2.28,N,9.06,0,0
2007-12-02 02:48,6.57,354.28,N,10.25,0,0
2007-12-02 02:54,6.26,13.66,NNE,8.74,0,0
2007-12-02 03:00,6.58,10.17,N,9.03,0,0
2007-12-02 03:06,5.95,16.54,NNE,7.91,0,0
2007-12-02 03:12,5.45,1.48,N,7.94,0,0
2007-12-02 03:18,4.14,356.96,N,6.28,0,0
2007-12-02 03:24,6.44,4.95,N,9.53,0,0
2007-12-02 03:30,6.71,357.46,N,9.17,0,0
2007-12-02 03:36,5.47,8.86,N,6.86,0,0
2007-12-02 03:42,6.79,6.39,N,8.24,0,0
2007-12-02 03:48,5.22,9.78,N,6.57,0,0
2007-12-02 03:54,5.65,3.08,N,6.80,0,0
2007-12-02 04:00,6.55,354.70,N,8.77,0,0
2007-12-02 04:06,6.47,354.38,N,8.67,0,0
2007-12-02 04:12,6.13,358.06,N,7.86,0,0
2007-12-02 04:18,5.49,5.58,N,8.09,0,0
2007-12-02 04:24,4.95,357.58,N,6.93,0,0
2007-12-02 04:30,4.90,3.25,N,6.54,0,0
2007-12-02 04:36,5.52,0.65,N,7.59,0,0
2007-12-02 04:42,5.52,0.54,N,8.18,0,0
2007-12-02 04:48,6.69,358.77,N,9.33,0,0
2007-12-02 04:54,5.74,11.96,NNE,7.72,0,0
2007-12-02 05:00,4.48,10.04,N,6.35,0,0
2007-12-02 05:06,5.42,359.78,N,7.38,0,0
2007-12-02 05:12,6.06,12.14,NNE,9.31,0,0
2007-12-02 05:18,6.23,352.44,N,7.90,0,0
2007-12-02 05:24,5.52,3.00,N,7.66,0,0
2007-12-02 05:30,5.79,1.23,N,8.60,0,0
2007-12-02 05:36,5.90,0.90,N,7.69,0,0
